alpha_code_3,region,industry,date,percent_of_baseline,version
CAN,,Manufacturing,2020-04-04,60,1.1
CAN,,Construction,2020-04-04,72,1.1
CAN,,Transportation (non-freight),2020-04-04,70,1.1
CAN,,Energy & Utilities,2020-04-04,87,1.1
CAN,,Agriculture,2020-04-04,82,1.1
CAN,,Consumer Services,2020-04-04,46,1.1
CAN,,Retail,2020-04-04,70,1.1
CAN,,"Waste Treatment, Environmental Services & Recycling",2020-04-04,64,1.1
CAN,,Freight & Logistics Services,2020-04-04,91,1.1
CAN,,Minerals & Mining,2020-04-04,75,1.1
CAN,,Healthcare Services & Hospitals,2020-04-04,50,1.1
CAN,,Telecommunications,2020-04-04,61,1.1
CAN,,Hospitality,2020-04-04,59,1.1
CAN,,Business Services,2020-04-04,76,1.1
CAN,,Finance,2020-04-04,60,1.1
CAN,,Organizations,2020-04-04,50,1.1
CAN,,Real Estate,2020-04-04,88,1.1
CAN,,Government,2020-04-04,90,1.1
USA,,Hospitality,2020-04-04,49,1.1
USA,,Construction,2020-04-04,55.000000000000007,1.1
USA,,"Waste Treatment, Environmental Services & Recycling",2020-04-04,72,1.1
USA,,Education,2020-04-04,57.999999999999993,1.1
USA,,Manufacturing,2020-04-04,90,1.1
USA,,Telecommunications,2020-04-04,95,1.1
USA,,Healthcare Services & Hospitals,2020-04-04,76,1.1
USA,,Transportation (non-freight),2020-04-04,69,1.1
USA,,Holding Companies & Conglomerates,2020-04-04,37,1.1
USA,,Agriculture,2020-04-04,107,1.1
USA,,Real Estate,2020-04-04,56.999999999999993,1.1
USA,,Consumer Services,2020-04-04,56.999999999999993,1.1
USA,,Minerals & Mining,2020-04-04,60,1.1
USA,,Freight & Logistics Services,2020-04-04,80,1.1
USA,,Retail,2020-04-04,66,1.1
USA,,Media & Internet,2020-04-04,61,1.1
USA,,Business Services,2020-04-04,75,1.1
USA,,Energy & Utilities,2020-04-04,78,1.1
USA,,Government,2020-04-04,81,1.1
,Europe,Manufacturing,2020-04-04,49,1.1
,Europe,Freight & Logistics Services,2020-04-04,73,1.1
,Europe,Business Services,2020-04-04,54,1.1
,Australia,Software,2020-04-04,101,1.1
,Australia,Real Estate,2020-04-04,94,1.1
,Australia,Business Services,2020-04-04,98,1.1
,Australia,Construction,2020-04-04,104,1.1
,Australia,Telecommunications,2020-04-04,83,1.1
,Australia,Manufacturing,2020-04-04,85,1.1
,Australia,Minerals & Mining,2020-04-04,94,1.1
